0,1;0,9;0,102632567;0,897540549;;2,63%;0,27%
0,1;0,9;0,10343739;0,896453023;;3,44%;0,39%
0,1;0,9;0,098493332;0,901431664;;1,51%;0,16%
0,1;0,9;0,099838823;0,90033165;;0,16%;0,04%
0,2;0,8;0,203691764;0,796269839;;1,85%;0,47%
0,2;0,8;0,203394106;0,796674539;;1,70%;0,42%
0,2;0,8;0,192068669;0,807240159;;3,97%;0,91%
0,2;0,8;0,197866848;0,801885577;;1,07%;0,24%
0,3;0,7;0,295161159;0,704485266;;1,61%;0,64%
0,3;0,7;0,304428829;0,695528294;;1,48%;0,64%
0,3;0,7;0,29925564;0,70099517;;0,25%;0,14%
0,3;0,7;0,299577896;0,700236037;;0,14%;0,03%
0,4;0,6;0,402154969;0,598038327;;0,54%;0,33%
0,4;0,6;0,396407596;0,603459118;;0,90%;0,58%
0,4;0,6;0,397460519;0,602146816;;0,63%;0,36%
0,4;0,6;0,400752834;0,599027677;;0,19%;0,16%
0,5;0,5;0,500182086;0,499688621;;0,04%;0,06%
0,5;0,5;0,498654845;0,501474821;;0,27%;0,29%
0,5;0,5;0,498749922;0,500856668;;0,25%;0,17%
0,5;0,5;0,499044836;0,500854358;;0,19%;0,17%
;;;;;1,14%;0,32%
;;;;;;
